GO_term,name,namespace,def
GO:0045595,regulation of cell differentiation,biological_process,"Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."
GO:0045597,positive regulation of cell differentiation,biological_process,"Any process that activates or increases the frequency, rate or extent of cell differentiation."
GO:0045892,negative regulation of DNA-templated transcription,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
GO:0045893,positive regulation of DNA-templated transcription,biological_process,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,biological_process,"Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,"Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0045944,positive regulation of transcription by RNA polymerase II,biological_process,"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
GO:0046483,obsolete heterocycle metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
GO:0046872,metal ion binding,molecular_function,Binding to a metal ion.
GO:0046907,intracellular transport,biological_process,The directed movement of substances within a cell.
GO:0046983,protein dimerization activity,molecular_function,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
GO:0048468,cell development,biological_process,The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place.
GO:0048513,animal organ development,biological_process,"Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."
GO:0048518,positive regulation of biological process,biological_process,"Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0048519,negative regulation of biological process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0048522,positive regulation of cellular process,biological_process,"Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0048523,negative regulation of cellular process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0048568,embryonic organ development,biological_process,"Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."
GO:0048583,regulation of response to stimulus,biological_process,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:0048584,positive regulation of response to stimulus,biological_process,"Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:0048585,negative regulation of response to stimulus,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:0048589,developmental growth,biological_process,"The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."
GO:0048598,embryonic morphogenesis,biological_process,"The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."
GO:0048608,reproductive structure development,biological_process,"The reproductive developmental process whose specific outcome is the progression of somatic structures that will be used in the process of creating new individuals from one or more parents, from their formation to the mature structures."
GO:0048609,multicellular organismal reproductive process,biological_process,"The process, occurring above the cellular level, that is pertinent to the reproductive function of a multicellular organism. This includes the integrated processes at the level of tissues and organs."
GO:0048646,anatomical structure formation involved in morphogenesis,biological_process,"The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0048666,neuron development,biological_process,"The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."
GO:0048667,cell morphogenesis involved in neuron differentiation,biological_process,The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron.
GO:0048699,generation of neurons,biological_process,The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons.
GO:0048729,tissue morphogenesis,biological_process,The process in which the anatomical structures of a tissue are generated and organized.
GO:0048731,system development,biological_process,"The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."
GO:0048732,gland development,biological_process,"The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."
GO:0048812,neuron projection morphogenesis,biological_process,"The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."
GO:0048856,anatomical structure development,biological_process,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0048858,cell projection morphogenesis,biological_process,The process in which the anatomical structures of a cell projection are generated and organized.
GO:0048869,cellular developmental process,biological_process,A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition.
GO:0048870,cell motility,biological_process,Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another.
GO:0048878,chemical homeostasis,biological_process,Any biological process involved in the maintenance of an internal steady state of a chemical.
GO:0048880,sensory system development,biological_process,The process whose specific outcome is the progression of a sensory system over time from its formation to the mature structure.
GO:0050776,regulation of immune response,biological_process,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
GO:0050789,regulation of biological process,biological_process,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0050790,regulation of catalytic activity,biological_process,Any process that modulates the activity of an enzyme.
GO:0050793,regulation of developmental process,biological_process,"Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
GO:0050794,regulation of cellular process,biological_process,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0050801,monoatomic ion homeostasis,biological_process,Any process involved in the maintenance of an internal steady state of monoatomic ions within an organism or cell. Monatomic ions (also called simple ions) are ions consisting of exactly one atom.
GO:0050877,nervous system process,biological_process,An organ system process carried out by any of the organs or tissues of the neurological system.
GO:0050896,response to stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
GO:0051049,regulation of transport,biological_process,"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0051050,positive regulation of transport,biological_process,"Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0051093,negative regulation of developmental process,biological_process,"Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
GO:0051094,positive regulation of developmental process,biological_process,"Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
GO:0051128,regulation of cellular component organization,biological_process,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
GO:0051129,negative regulation of cellular component organization,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
GO:0051130,positive regulation of cellular component organization,biological_process,"Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
GO:0051171,obsolete regulation of nitrogen compound metabolic process,biological_process,"OBSOLETE. Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0051172,obsolete negative regulation of nitrogen compound metabolic process,biological_process,"OBSOLETE. Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0051173,obsolete positive regulation of nitrogen compound metabolic process,biological_process,"OBSOLETE. Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0051174,regulation of phosphorus metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."
GO:0051179,localization,biological_process,"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."
GO:0051234,establishment of localization,biological_process,"Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
GO:0051239,regulation of multicellular organismal process,biological_process,"Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."
GO:0051240,positive regulation of multicellular organismal process,biological_process,"Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."
GO:0051241,negative regulation of multicellular organismal process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."
GO:0051246,regulation of protein metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."
GO:0051247,positive regulation of protein metabolic process,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."
GO:0051248,negative regulation of protein metabolic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."
GO:0051252,regulation of RNA metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0051253,negative regulation of RNA metabolic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0051254,positive regulation of RNA metabolic process,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0051276,chromosome organization,biological_process,"A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."
GO:0051641,cellular localization,biological_process,"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."
GO:0051649,establishment of localization in cell,biological_process,"Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
GO:0051707,response to other organism,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
GO:0051716,cellular response to stimulus,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
GO:0051726,regulation of cell cycle,biological_process,Any process that modulates the rate or extent of progression through the cell cycle.
GO:0055085,transmembrane transport,biological_process,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,"The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."
GO:0060089,molecular transducer activity,molecular_function,A compound molecular function in which an effector function is controlled by one or more regulatory components.
GO:0060255,regulation of macromolecule metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0060284,regulation of cell development,biological_process,"Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."
GO:0060322,head development,biological_process,The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body.
GO:0060341,regulation of cellular localization,biological_process,"Any process that modulates the frequency, rate or extent of a process in which a cell, a substance, or a cellular entity is transported to, or maintained in a specific location within or in the membrane of a cell."
GO:0060429,epithelium development,biological_process,"The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."
GO:0060548,obsolete negative regulation of cell death,biological_process,"OBSOLETE. Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."
GO:0061024,membrane organization,biological_process,"A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."
GO:0061061,muscle structure development,biological_process,"The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."
GO:0061458,reproductive system development,biological_process,The progression of the reproductive system over time from its formation to the mature structure. The reproductive system consists of the organs that function in reproduction.
GO:0061564,axon development,biological_process,"The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."
GO:0065003,protein-containing complex assembly,biological_process,"The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex."
GO:0065007,biological regulation,biological_process,"Any process that modulates a measurable attribute of any biological process, quality or function."
GO:0065008,regulation of biological quality,biological_process,"Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."
GO:0065009,regulation of molecular function,biological_process,"Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."
GO:0065010,extracellular membrane-bounded organelle,cellular_component,"Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."
GO:0070013,intracellular organelle lumen,cellular_component,An organelle lumen that is part of an intracellular organelle.
GO:0070062,extracellular exosome,cellular_component,"A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."
GO:0070161,anchoring junction,cellular_component,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix.
GO:0070727,cellular macromolecule localization,biological_process,"Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."
GO:0070887,cellular response to chemical stimulus,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."
GO:0070925,organelle assembly,biological_process,"The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0071310,obsolete cellular response to organic substance,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."
GO:0071495,cellular response to endogenous stimulus,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."
GO:0071496,cellular response to external stimulus,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
GO:0071702,obsolete organic substance transport,biological_process,"OBSOLETE. The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."
GO:0071704,obsolete organic substance metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
GO:0071705,nitrogen compound transport,biological_process,"The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0071840,cellular component organization or biogenesis,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO:0071944,cell periphery,cellular_component,"The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."
GO:0072359,circulatory system development,biological_process,"The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."
GO:0080090,regulation of primary metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0080134,regulation of response to stress,biological_process,"Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0090066,regulation of anatomical structure size,biological_process,Any process that modulates the size of an anatomical structure.
GO:0090304,nucleic acid metabolic process,biological_process,Any cellular metabolic process involving nucleic acids.
GO:0097159,obsolete organic cyclic compound binding,molecular_function,"OBSOLETE. Binding to an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."
GO:0097367,carbohydrate derivative binding,molecular_function,Binding to a carbohydrate derivative.
GO:0097435,supramolecular fiber organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."
GO:0097708,intracellular vesicle,cellular_component,Any vesicle that is part of the intracellular region.
GO:0098542,defense response to other organism,biological_process,Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism.
GO:0098588,bounding membrane of organelle,cellular_component,The lipid bilayer that forms the outer-most layer of an organelle.
GO:0098590,plasma membrane region,cellular_component,A membrane that is a (regional) part of the plasma membrane.
GO:0098772,molecular function regulator activity,molecular_function,A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition.
GO:0098796,membrane protein complex,cellular_component,Any protein complex that is part of a membrane.
GO:0098827,endoplasmic reticulum subcompartment,cellular_component,A distinct region of the endoplasmic reticulum.
GO:0099080,supramolecular complex,cellular_component,"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."
GO:0099081,supramolecular polymer,cellular_component,A polymeric supramolecular structure.
GO:0099503,secretory vesicle,cellular_component,"A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."
GO:0099512,supramolecular fiber,cellular_component,A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure.
GO:0099568,cytoplasmic region,cellular_component,Any (proper) part of the cytoplasm of a single cell of sufficient size to still be considered cytoplasm.
GO:0110165,cellular anatomical structure,cellular_component,A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses.
GO:0120025,plasma membrane bounded cell projection,cellular_component,"A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."
GO:0120035,regulation of plasma membrane bounded cell projection organization,biological_process,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of plasma membrane bounded cell projections."
GO:0120036,plasma membrane bounded cell projection organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."
GO:0120039,plasma membrane bounded cell projection morphogenesis,biological_process,The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized.
GO:0140096,"catalytic activity, acting on a protein",molecular_function,Catalytic activity that acts to modify a protein.
GO:0140110,transcription regulator activity,molecular_function,"A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."
GO:0140513,nuclear protein-containing complex,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."
GO:0140535,intracellular protein-containing complex,cellular_component,A protein-containing complex located intracellularly.
GO:0140640,"catalytic activity, acting on a nucleic acid",molecular_function,Catalytic activity that acts to modify a nucleic acid.
GO:0140657,ATP-dependent activity,molecular_function,"A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."
GO:0140677,molecular function activator activity,molecular_function,A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target.
GO:0150063,visual system development,biological_process,"The process whose specific outcome is the progression of the visual system over time, from its formation to the mature structure, including the eye, parts of the central nervous system (CNS) involved in processing of visual inputs, and connecting nerve pathways."
GO:1901135,carbohydrate derivative metabolic process,biological_process,The chemical reactions and pathways involving carbohydrate derivative.
GO:1901137,carbohydrate derivative biosynthetic process,biological_process,The chemical reactions and pathways resulting in the formation of carbohydrate derivative.
GO:1901265,nucleoside phosphate binding,molecular_function,Binding to nucleoside phosphate.
GO:1901360,obsolete organic cyclic compound metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways involving organic cyclic compound.
GO:1901362,obsolete organic cyclic compound biosynthetic process,biological_process,OBSOLETE. The chemical reactions and pathways resulting in the formation of organic cyclic compound.
GO:1901363,heterocyclic compound binding,molecular_function,Binding to heterocyclic compound.
GO:1901564,obsolete organonitrogen compound metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways involving organonitrogen compound.
GO:1901565,obsolete organonitrogen compound catabolic process,biological_process,OBSOLETE. The chemical reactions and pathways resulting in the breakdown of organonitrogen compound.
GO:1901566,obsolete organonitrogen compound biosynthetic process,biological_process,OBSOLETE. The chemical reactions and pathways resulting in the formation of organonitrogen compound.
GO:1901575,obsolete organic substance catabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the breakdown of an organic substance, any molecular entity containing carbon."
GO:1901576,obsolete organic substance biosynthetic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."
GO:1901615,obsolete organic hydroxy compound metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways involving organic hydroxy compound.
GO:1901698,response to nitrogen compound,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."
GO:1901700,response to oxygen-containing compound,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."
GO:1901701,cellular response to oxygen-containing compound,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."
GO:1901702,salt transmembrane transporter activity,molecular_function,Enables the transfer of salt from one side of a membrane to the other.
GO:1902494,catalytic complex,cellular_component,A protein complex which is capable of catalytic activity.
GO:1902531,regulation of intracellular signal transduction,biological_process,"Any process that modulates the frequency, rate or extent of intracellular signal transduction."
GO:1902533,positive regulation of intracellular signal transduction,biological_process,"Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."
GO:1902679,negative regulation of RNA biosynthetic process,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."
GO:1902680,positive regulation of RNA biosynthetic process,biological_process,"Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."
GO:1903047,mitotic cell cycle process,biological_process,A process that is part of the mitotic cell cycle.
GO:1903506,obsolete regulation of nucleic acid-templated transcription,biological_process,"OBSOLETE. Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."
GO:1903507,obsolete negative regulation of nucleic acid-templated transcription,biological_process,"OBSOLETE. Any process that stops, prevents or reduces the frequency, rate or extent of nucleic acid-templated transcription."
GO:1903508,obsolete positive regulation of nucleic acid-templated transcription,biological_process,"OBSOLETE. Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."
GO:1903561,extracellular vesicle,cellular_component,Any vesicle that is part of the extracellular region.
GO:1990234,transferase complex,cellular_component,"A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."
GO:1990837,sequence-specific double-stranded DNA binding,molecular_function,"Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."
GO:1990904,ribonucleoprotein complex,cellular_component,A macromolecular complex that contains both RNA and protein molecules.
GO:2000026,regulation of multicellular organismal development,biological_process,"Any process that modulates the frequency, rate or extent of multicellular organismal development."
GO:2000145,regulation of cell motility,biological_process,"Any process that modulates the frequency, rate or extent of cell motility."
GO:2001141,regulation of RNA biosynthetic process,biological_process,"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
